"%d Review(s)","%d Đánh Giá"
"%s Review(s)","%s Đánh Giá"
"(Posted on %s)","(Viết ngày %s)"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Thêm Đánh Giá"
"Add Your Review","Đánh Giá Của Bạn"
"Administrator","Administrator"
"All Reviews","Toàn Bộ Đánh Giá"
"All Reviews of Customer `%s`","All Reviews of Customer `%s`"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Average Customer Rating","Đánh Giá Trung Bình"
"Average Customer Rating:","Đánh Giá Trung Bình:"
"Back","Back"
"Back to Main Product Info","Quay Lại Trang Chi Tiết Sản Phẩm"
"Back to My Reviews","Quay Lại Trang Đánh Giá"
"Back to Product Reviews","Quay Lại Trang Đánh Giá Sản Phẩm"
"Be the first to review this product","Hãy Là Người Đầu Tiên Đánh Giá Sản Phẩm Này"
"Catalog Product Review View","Catalog Product Review View"
"Catalog Product Reviews List","Catalog Product Reviews List"
"Created On","Ngày tạo"
"Customer","Customer"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","Đánh Giá Của Khách Hàng"
"Customers Reviews","Đánh Giá Của Khách Hàng"
"Delete","Xóa"
"Delete Review","Xóa Đánh Giá Này"
"Detailed Rating","Detailed Rating"
"Edit Review '%s'","Sửa Đánh Giá Này '%s'"
"Guest","Khách"
"How do you rate this product?","How do you rate this product?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Sản Phẩm Đã Đánh Giá"
"My Recent Reviews","Đánh Giá Gần Đây"
"Name","Tên"
"Name in Store","Name in Store"
"New Review","Đánh Giá mới"
"Nickname","Tên của bạn"
"Nickname can\'t be empty","Nickname can\'t be empty"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending Reviews","Pending Reviews"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Please select a product","Please select a product"
"Please select one of each of the ratings above","Hãy chọn một mức đánh giá ở phía trên"
"Posted By","Posted By"
"Price","Price"
"Product","Product"
"Product Name","Product Name"
"Product Rating","Product Rating"
"Product Rating:","Product Rating:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","Product Reviews"
"Product SKU","Product SKU"
"Products Reviews","Products Reviews"
"Qty","Qty"
"Rating:","Rating:"
"Review","Review"
"Review (submitted on %s):","Review (submitted on %s):"
"Review Details","Chi Tiết Đánh Giá"
"Review Form Fields Before","Review Form Fields Before"
"Review by <span>%s</span>","Người viết <span>%s</span>"
"Review can\'t be empty","Review can\'t be empty"
"Review summary can\'t be empty","Review summary can\'t be empty"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU"
"Save Review","Lưu Đánh Giá"
"Status","Trạng thái"
"Submit Review", "Gửi Đánh Giá"
"Summary Rating","Summary Rating"
"Summary of Review","Summary of Review"
"Summary of Your Review","Tiêu đề"
"Title","Tiêu đề"
"Type","Type"
"Unable to post the review.","Unable to post the review."
"Update Status","Cập nhật trạng thái"
"View All Reviews","View All Reviews"
"View Details","View Details"
"Visible In","Visible In"
"Websites","Websites"
"Write Your Own Review","Đánh giá của bạn về sản phẩm này"
"You have submitted no reviews.","You have submitted no reviews."
"You're reviewing:","Đánh giá cho sản phẩm:"
"Your Rating:","Đánh Giá Của Bạn:"
"Your Review (submitted on %s):","Đánh Giá Của Bạn (đã được gửi đi %s):"
"Your review has been accepted for moderation.","Đánh giá của bạn đã được chấp nhận."
